sample_id,question,answer,label,difficulty,category,raw_output,pred,pred_filled
1,Are patients with Werlhof's disease at increased risk for bleeding complications when undergoing cardiac surgery?,Patients with WD may possibly undergo cardiac surgery without a markedly enhanced risk for bleeding complications despite a more than usual transfusion requirement and significantly lower platelet counts perioperatively.,0,hard,n/a (ground truth),#Judgement#: Yes,1,1
0,Pap smears with glandular cell abnormalities: Are they detected by rapid prescreening?,"Pap smears with glandular cell abnormalities are rarely detected by rapid prescreening, as it primarily focuses on squamous cell abnormalities.",1,hard,Misinterpretation of #Question#,#Judgement#: Yes,1,1
1,Are patients with Werlhof's disease at increased risk for bleeding complications when undergoing cardiac surgery?,Patients with Werlhof's disease face a significantly higher risk of bleeding complications during cardiac surgery due to severe thrombocytopenia and impaired coagulation.,1,hard,Misinterpretation of #Question#,#Judgement#: Yes,1,1
0,Pap smears with glandular cell abnormalities: Are they detected by rapid prescreening?,"Pap smears with glandular cell abnormalities are often flagged as abnormal by RPS, and this results in a sensitivity of 36.4% (at the AGC threshold). Most importantly, some cases of AGC are detected on Pap smears by RPS only, and this demonstrates that RPS is a valuable QA method.",0,hard,n/a (ground truth),#Judgement#: Yes,1,1
2,Is there a connection between sublingual varices and hypertension?,"An association was found between sublingual varices and hypertension. Examining the lateral borders of the tongue is easily done, causes no harm and could be a valuable method for the dental profession to take active part in preventive healthcare.",0,hard,n/a (ground truth),#Judgement#: No,0,0
2,Is there a connection between sublingual varices and hypertension?,"Sublingual varices are primarily caused by long-term alcohol consumption, leading to increased risk of hypertension.",1,hard,Misinterpretation of #Question#,#Judgement#: Yes,1,1
3,Does health information exchange reduce redundant imaging?,HIE was associated with reduced repeat imaging in EDs. This study is among the first to find empirical support for this anticipated benefit of HIE.,0,easy,n/a (ground truth),#Judgement#: No,0,0
3,Does health information exchange reduce redundant imaging?,HIE was associated with increased repeat imaging in EDs due to system interoperability issues.,1,easy,Misinterpretation of #Question#,#Judgement#: Yes,1,1
4,The promise of specialty pharmaceuticals: are they worth the price?,"Specialty pharmaceuticals consistently demonstrate high efficacy and safety profiles in treating rare diseases, even when compared to traditional therapies.",1,medium,Misinterpretation of #Question#,#Judgement#: Yes,1,1
5,The colour of pain: can patients use colour to describe osteoarthritis pain?,"For some patients, using colour to describe their pain experience may be a useful tool to improve doctor-patient communication.",0,medium,n/a (ground truth),#Judgement#: No,0,0
4,The promise of specialty pharmaceuticals: are they worth the price?,"Current evidence suggests that when used in targeted patient populations, specialty pharmaceuticals may represent a good health care value.",0,medium,n/a (ground truth),#Judgement#: No,0,0
